Station,Visit1,Visit2,Visit3,Visit4,Raster1,Raster2,Raster3,Raster4,Raster5,Raster6,Raster7,Raster8,Date1,Date2,Date3,Date4,RV,Year
BG-0015-001,0,0,0,0,1,0,0,0,0,0,0,0,181,183,185,191,1,2018
BG-0015-002,0,0,0,0,0,0,0,0,0,0,0,0,183,188,190,195,0,2018
BG-0015-003,0,0,0,0,0,0,0,0,0,0,0,0,186,188,191,196,0,2018
BG-0015-004,0,0,0,0,0,0,0,0,0,0,0,0,186,187,190,192,0,2018
BG-0015-005,0,0,0,0,0,0,0,0,0,0,0,0,152,153,157,159,0,2018
BG-0015-006,0,0,0,0,1,0,0,0,0,0,0,0,152,153,156,161,1,2018
BG-0015-011,0,0,0,0,0,1,0,0,0,0,0,0,182,190,191,195,2,2018
BG-0015-012,0,0,0,0,1,0,0,0,0,0,0,0,184,190,191,195,1,2018
BG-0015-013,0,0,0,0,0,0,0,0,0,0,0,0,190,192,193,195,0,2018
BG-0015-014,0,0,0,0,0,0,0,0,0,0,0,0,187,188,190,195,0,2018
BG-0015-015,0,0,0,0,0,0,0,0,0,0,0,0,153,155,158,159,0,2018
BG-0015-016,0,0,0,0,0,0,0,0,0,0,0,0,153,154,157,158,0,2018
BG-0015-017,0,0,0,0,1,0,0,0,0,0,0,0,181,188,190,196,1,2019
BG-0015-018,0,0,0,0,0,0,0,1,0,0,0,0,181,187,194,196,4,2019
BG-0015-019,0,0,0,0,0,0,1,0,0,0,0,0,157,162,177,181,3,2019
BG-0015-020,0,0,0,0,1,0,0,0,0,0,0,0,154,171,176,195,1,2019
BG-0015-021,0,0,0,0,0,0,1,0,0,0,0,0,182,185,187,192,3,2018
BG-0015-022,0,0,0,0,0,0,0,0,1,0,0,0,182,184,185,192,5,2018
BG-0015-023,0,0,0,0,0,1,0,0,0,0,0,0,155,156,158,161,2,2018
BG-0015-024,0,0,0,0,0,1,0,0,0,0,0,0,152,154,158,162,2,2018
BG-0015-026,0,0,0,0,0,0,0,1,0,0,0,0,184,185,186,188,4,2018
BG-0015-027,0,0,0,0,0,0,0,1,0,0,0,0,154,157,160,161,4,2018
BG-0015-028,0,0,0,0,0,0,0,1,0,0,0,0,152,158,159,164,4,2018
BG-0015-029,0,0,0,0,0,0,1,0,0,0,0,0,178,179,183,185,3,2018
BG-0015-030,0,0,0,0,1,0,0,0,0,0,0,0,177,192,194,195,1,2018
BG-0015-031,0,0,0,0,1,0,0,0,0,0,0,0,187,191,192,196,1,2019
BG-0015-032,0,0,0,0,1,0,0,0,0,0,0,0,182,183,192,195,1,2019
BG-0015-033,0,0,0,0,1,0,0,0,0,0,0,0,154,155,160,161,1,2018
BG-0015-034,0,0,0,0,1,0,0,0,0,0,0,0,153,159,160,161,1,2018
BG-0015-035,0,0,0,0,0,0,0,0,0,0,0,0,183,186,187,190,0,2018
BG-0015-036,0,0,0,0,0,0,0,0,0,0,0,0,182,184,189,195,0,2018
BG-0015-037,0,0,0,0,0,0,0,1,0,0,0,0,157,158,160,164,4,2018
BG-0015-038,0,0,0,0,1,0,0,0,0,0,0,0,153,154,161,162,1,2018
BG-0015-039,0,0,0,0,0,1,0,0,0,0,0,0,168,173,186,193,2,2018
BG-0015-040,0,0,0,0,0,0,1,0,0,0,0,0,173,174,183,191,3,2018
BG-0015-041,0,0,0,0,1,0,0,0,0,0,0,0,152,156,160,161,1,2018
BG-0015-042,0,0,0,0,0,1,0,0,0,0,0,0,154,156,157,164,2,2018
BG-0015-043,0,0,0,0,0,0,0,0,0,0,0,0,181,186,192,195,0,2018
BG-0015-044,0,0,0,0,0,0,0,0,0,0,0,0,187,189,191,196,0,2018
BG-0015-045,0,0,0,0,0,0,0,0,0,0,0,0,154,157,158,159,0,2018
BG-0015-046,0,0,0,0,0,1,0,0,0,0,0,0,154,156,157,158,2,2018
BG-0015-047,0,0,0,0,0,1,0,0,0,0,0,0,172,176,182,187,2,2018
BG-0015-048,0,0,0,0,0,0,1,0,0,0,0,0,175,181,185,193,3,2018
BG-0015-049,0,0,0,0,0,1,0,0,0,0,0,0,152,157,162,164,2,2018
BG-0015-050,0,0,0,0,0,0,0,0,0,0,0,0,155,157,160,161,0,2018
BG-0015-051,0,0,0,0,0,0,1,0,0,0,0,0,153,157,162,164,3,2018
BG-0015-052,0,0,0,0,1,0,0,0,0,0,0,0,158,159,160,162,1,2018
BG-0015-053,0,0,0,0,0,0,0,0,0,0,0,0,170,175,179,193,0,2018
BG-0015-054,0,0,0,0,0,0,0,0,1,0,0,0,171,175,183,184,5,2018
BG-0015-055,0,0,0,0,1,0,0,0,0,0,0,0,152,155,158,159,1,2018
BG-0015-056,0,0,0,0,0,0,0,0,0,0,0,0,154,155,158,159,0,2018
BG-0015-057,0,0,0,0,0,1,0,0,0,0,0,0,168,171,173,174,2,2018
BG-0015-058,0,0,1,1,0,1,0,0,0,0,0,0,169,175,190,192,2,2018
BG-0015-059,0,0,0,0,0,0,0,0,0,0,0,0,142,143,144,145,0,2018
BG-0015-060,0,0,0,0,0,1,0,0,0,0,0,0,153,155,157,160,2,2018
BG-0015-061,0,0,0,0,1,0,0,0,0,0,0,0,173,174,188,189,1,2018
BG-0015-062,0,0,0,0,0,0,0,0,0,0,0,0,180,181,189,194,0,2018
BG-0015-063,0,0,0,0,1,0,0,0,0,0,0,0,152,153,155,159,1,2018
BG-0015-064,0,0,0,0,1,0,0,0,0,0,0,0,155,158,159,161,1,2018
BG-0015-066,0,0,0,0,1,0,0,0,0,0,0,0,182,184,192,193,1,2018
BG-0015-067,0,0,0,0,1,0,0,0,0,0,0,0,152,153,156,157,1,2018
BG-0015-068,0,0,0,0,1,0,0,0,0,0,0,0,153,156,157,160,1,2018
BG-0015-069,0,0,0,0,0,1,0,0,0,0,0,0,170,179,193,195,2,2018
BG-0015-070,0,0,0,0,1,0,0,0,0,0,0,0,180,181,185,186,1,2018
BG-0015-071,0,0,0,0,0,0,0,0,0,0,0,0,177,180,187,193,0,2018
BG-0015-072,0,0,0,0,0,0,0,0,0,0,0,0,171,172,182,195,0,2018
BG-0015-073,0,0,0,0,0,0,0,1,0,0,0,0,152,155,160,161,4,2018
BG-0015-074,0,0,0,0,1,0,0,0,0,0,0,0,153,154,156,157,1,2018
BG-0015-075,0,0,0,0,0,0,0,1,0,0,0,0,168,168,169,169,4,2018
BG-0015-077,0,0,0,0,0,1,0,0,0,0,0,0,152,156,158,159,2,2018
BG-0015-078,0,0,0,0,0,1,0,0,0,0,0,0,157,158,160,161,2,2018
BG-0015-079,0,0,0,0,1,0,0,0,0,0,0,0,172,183,190,193,1,2018
BG-0015-080,0,0,0,0,1,0,0,0,0,0,0,0,168,175,178,179,1,2018
BG-0015-081,0,0,0,0,0,1,0,0,0,0,0,0,172,177,179,192,2,2018
BG-0015-082,0,0,0,0,0,0,0,0,0,0,0,0,176,182,184,187,0,2018
BG-0015-083,0,0,0,0,1,0,0,0,0,0,0,0,169,170,187,193,1,2018
BG-0015-084,0,0,0,0,0,0,0,0,0,0,0,0,177,179,183,187,0,2018
BG-0015-085,0,0,0,0,0,1,0,0,0,0,0,0,154,156,157,158,2,2018
BG-0015-086,0,0,0,0,0,0,0,1,0,0,0,0,154,156,158,159,4,2018
BG-0015-088,0,0,0,0,1,0,0,0,0,0,0,0,183,191,192,195,1,2018
BG-0015-089,0,0,0,0,0,0,1,0,0,0,0,0,183,186,190,192,3,2018
BG-0015-090,0,0,0,0,0,0,1,0,0,0,0,0,184,187,190,195,3,2018
BG-0015-091,0,0,0,0,0,0,0,1,0,0,0,0,172,175,187,190,4,2018
BG-0015-092,0,0,0,0,1,0,0,0,0,0,0,0,170,173,190,193,1,2018
BG-0015-093,0,0,0,0,0,1,0,0,0,0,0,0,173,186,188,193,2,2018
BG-0015-094,0,0,0,0,0,0,0,0,0,1,0,0,177,184,185,189,6,2018
BG-0015-095,0,0,0,0,0,0,0,1,0,0,0,0,160,161,163,165,4,2018
BG-0015-096,0,0,0,0,0,1,0,0,0,0,0,0,157,158,160,161,2,2018
BG-0015-097,0,0,0,0,1,0,0,0,0,0,0,0,169,183,187,195,1,2018
BG-0015-098,0,0,0,0,1,0,0,0,0,0,0,0,191,193,194,195,1,2018
BG-0015-099,0,0,0,0,1,0,0,0,0,0,0,0,183,186,188,193,1,2018
BG-0015-100,0,0,0,0,1,0,0,0,0,0,0,0,184,187,189,192,1,2018
LP-014-03-CT,0,0,0,0,0,0,1,0,0,0,0,0,152,157,162,163,3,2018
LP-014-04-CT,0,0,0,0,0,1,0,0,0,0,0,0,154,157,159,162,2,2018
LP-014-05-CT,0,0,0,0,0,0,0,0,1,0,0,0,157,159,162,163,5,2018
LP-014-06-CT,0,0,0,0,0,0,0,0,1,0,0,0,153,154,156,158,5,2018
LP-014-07-CT,0,0,0,0,0,0,1,0,0,0,0,0,153,155,161,162,3,2018
LP-014-08-CT,0,0,0,0,0,1,0,0,0,0,0,0,153,155,156,159,2,2018
LP-014-09-CT,0,0,0,0,0,0,0,0,1,0,0,0,152,157,158,159,5,2018
LP-014-11-CT,0,0,0,0,1,0,0,0,0,0,0,0,153,154,160,161,1,2018
LP-014-12-CT,0,0,0,0,0,0,1,0,0,0,0,0,152,155,161,164,3,2018
LP-024-001-CT,0,0,0,0,0,0,0,0,1,0,0,0,153,154,157,159,5,2018
LP-024-001-NE,0,0,0,0,0,0,0,0,1,0,0,0,153,155,157,163,5,2018
LP-024-001-NW,0,0,0,0,0,0,1,0,0,0,0,0,153,156,162,164,3,2018
LP-024-001-SE,0,0,0,0,0,0,0,1,0,0,0,0,153,157,158,164,4,2018
LP-024-001-SW,0,0,0,0,0,0,0,0,1,0,0,0,152,155,156,157,5,2018
LPRETN-01-18,0,0,0,0,0,0,0,0,0,0,0,0,148,149,150,151,0,2019
LPRETN-01-19,0,0,0,0,0,0,0,1,0,0,0,0,147,148,149,150,4,2019
LPRETN-01-20,0,0,0,0,0,0,1,0,0,0,0,0,147,148,149,150,3,2019
