project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,R-P5-20-32,2021-06-02,2:20:00,55.13469,-111.6841,0,-111.6841,55.1347,2021-06-02 2:20,2021,153,2,2.333333,-111.684,55.135,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-RC2,2021-07-15,0:40:00,57.01944,-111.9218,0,-111.9218,57.0194,2021-07-15 0:40,2021,196,0,0.6666667,-111.922,57.019,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-NE,2021-07-08,0:40:00,56.2341,-110.8271,0,-110.8271,56.2341,2021-07-08 0:40,2021,189,0,0.6666667,-110.827,56.234,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-34,2021-06-17,2:00:00,54.68107,-110.7041,0,-110.7041,54.6811,2021-06-17 2:00,2021,168,2,2,-110.704,54.681,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-20-58,2021-06-05,2:20:00,55.16018,-111.6633,0,-111.6633,55.1602,2021-06-05 2:20,2021,156,2,2.333333,-111.663,55.16,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-E0-16-28,2021-06-17,0:20:00,54.67824,-110.7003,0,-110.7003,54.6782,2021-06-17 0:20,2021,168,0,0.3333333,-110.7,54.678,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-WI3,2021-07-15,1:20:00,57.0378,-111.9208,0,-111.9208,57.0378,2021-07-15 1:20,2021,196,1,1.333333,-111.921,57.038,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-20-50,2021-06-05,2:00:00,55.14858,-111.6848,1,-111.6848,55.1486,2021-06-05 2:00,2021,156,2,2,-111.685,55.149,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-20-58,2021-06-06,0:40:00,55.16018,-111.6633,0,-111.6633,55.1602,2021-06-06 0:40,2021,157,0,0.6666667,-111.663,55.16,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-34,2021-06-17,2:20:00,54.68107,-110.7041,0,-110.7041,54.6811,2021-06-17 2:20,2021,168,2,2.333333,-110.704,54.681,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-20-54,2021-06-06,0:20:00,55.1588,-111.6742,1,-111.6742,55.1588,2021-06-06 0:20,2021,157,0,0.3333333,-111.674,55.159,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,F-P5-16-4,2021-06-14,0:40:00,54.61481,-110.7815,0,-110.7815,54.6148,2021-06-14 0:40,2021,165,0,0.6666667,-110.782,54.615,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,F-P5-16-38,2021-06-22,0:20:00,54.68868,-110.5229,0,-110.5229,54.6887,2021-06-22 0:20,2021,173,0,0.3333333,-110.523,54.689,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-RI1,2021-07-13,0:00:00,57.04389,-111.9182,0,-111.9182,57.0439,2021-07-13 0:00,2021,194,0,0,-111.918,57.044,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-65,2021-06-15,1:40:00,54.6289,-110.7368,1,-110.7368,54.6289,2021-06-15 1:40,2021,166,1,1.666667,-110.737,54.629,1,UNMINEABLE
