OBJECTID,OBJECTID_1,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
1,1,17127000.000000000000000,67129200.000000000000000,56493000.000000000000000,96733800.000000000000000,80430300.000000000000000,66244500.000000000000000,82092600.000000000000000,65489400.000000000000000,47256300.000000000000000
2,2,99294300.000000000000000,279936900.000000000000000,197837100.000000000000000,247779900.000000000000000,145948500.000000000000000,43054200.000000000000000,28290600.000000000000000,13429800.000000000000000,9110700.000000000000000
3,3,27591300.000000000000000,33527700.000000000000000,38741400.000000000000000,18795600.000000000000000,9629100.000000000000000,1485000.000000000000000,430200.000000000000000,72900.000000000000000,29700.000000000000000
4,4,1616400.000000000000000,13572900.000000000000000,10529100.000000000000000,7357500.000000000000000,3615300.000000000000000,1809900.000000000000000,817200.000000000000000,549900.000000000000000,153900.000000000000000
5,5,55803600.000000000000000,202506300.000000000000000,166103100.000000000000000,80237700.000000000000000,54653400.000000000000000,25606800.000000000000000,3567600.000000000000000,659700.000000000000000,281700.000000000000000
6,6,23244300.000000000000000,49177800.000000000000000,29408400.000000000000000,9188100.000000000000000,6910200.000000000000000,3115800.000000000000000,1310400.000000000000000,55800.000000000000000,3600.000000000000000
7,7,45744300.000000000000000,223124400.000000000000000,187313400.000000000000000,322765200.000000000000000,102148200.000000000000000,57916800.000000000000000,26168400.000000000000000,18109800.000000000000000,8065800.000000000000000
8,8,83979000.000000000000000,112271400.000000000000000,184442400.000000000000000,128483100.000000000000000,42058800.000000000000000,17611200.000000000000000,23697000.000000000000000,15652800.000000000000000,6484500.000000000000000
9,9,25715700.000000000000000,101871900.000000000000000,96746400.000000000000000,93186900.000000000000000,65136600.000000000000000,45023400.000000000000000,22527000.000000000000000,10147500.000000000000000,4914000.000000000000000
10,10,16167600.000000000000000,51052500.000000000000000,74538000.000000000000000,56037600.000000000000000,24848100.000000000000000,20536200.000000000000000,12366000.000000000000000,16330500.000000000000000,10062900.000000000000000
11,11,68087700.000000000000000,168891300.000000000000000,125703000.000000000000000,154202400.000000000000000,64001700.000000000000000,31331700.000000000000000,31227300.000000000000000,22355100.000000000000000,8107200.000000000000000
12,12,40345200.000000000000000,122464800.000000000000000,71982900.000000000000000,36208800.000000000000000,36640800.000000000000000,24173100.000000000000000,28237500.000000000000000,13885200.000000000000000,7141500.000000000000000
13,13,31686300.000000000000000,61746300.000000000000000,67404600.000000000000000,64094400.000000000000000,35444700.000000000000000,18791100.000000000000000,9089100.000000000000000,3825000.000000000000000,1422000.000000000000000
14,14,35964000.000000000000000,115311600.000000000000000,60441300.000000000000000,63924300.000000000000000,29406600.000000000000000,18172800.000000000000000,8811000.000000000000000,6425100.000000000000000,1849500.000000000000000
