ss,data_set,site,station,latit,longit,mineable,lapr,mclelland,region,wetland
AM:401:CT,AM,401,CT,54.659588,-110.70787,0,1,NA,unmineable,NA
AM:401:NE,AM,401,NE,54.662427,-110.70374,0,1,NA,unmineable,NA
AM:401:NW,AM,401,NW,54.662224,-110.7129,0,1,NA,unmineable,NA
AM:401:SE,AM,401,SE,54.657827,-110.70662,0,1,NA,unmineable,NA
AM:401:SW,AM,401,SW,54.656922,-110.71297,0,1,NA,unmineable,NA
AM:403:CT,AM,403,CT,54.610992,-110.68858,0,1,NA,unmineable,NA
AM:403:NE,AM,403,NE,54.613648,-110.67989,0,1,NA,unmineable,NA
AM:403:NW,AM,403,NW,54.614084,-110.68495,0,1,NA,unmineable,NA
AM:403:SE,AM,403,SE,54.608119,-110.6804,0,1,NA,unmineable,NA
AM:403:SW,AM,403,SW,54.608253,-110.68923,0,1,NA,unmineable,NA
AM:412:CT,AM,412,CT,57.496453,-111.3596,1,1,west,west,McClelland Lake Fen - West
AM:412:NW,AM,412,NW,57.498502,-111.36571000000001,1,1,west,west,McClelland Lake Fen - West
AM:412:SW,AM,412,SW,57.494146,-111.3653,1,1,west,west,McClelland Lake Fen - West
AM:414:CT,AM,414,CT,57.513788,-111.34433,1,1,west,west,McClelland Lake Fen - West
AM:414:NE,AM,414,NE,57.51591,-111.34007,1,1,west,west,McClelland Lake Fen - West
AM:414:NW,AM,414,NW,57.518273,-111.34637,1,1,west,west,McClelland Lake Fen - West
AM:414:SE,AM,414,SE,57.51132,-111.3499,1,1,west,west,McClelland Lake Fen - West
AM:414:SW,AM,414,SW,57.51534,-111.35134,1,1,west,west,McClelland Lake Fen - West
AM:420:CT,AM,420,CT,55.736424,-111.23068,0,1,NA,unmineable,NA
AM:420:NE,AM,420,NE,55.739182,-111.22592,0,1,NA,unmineable,NA
AM:420:NW,AM,420,NW,55.73911,-111.23548,0,1,NA,unmineable,NA
AM:420:SE,AM,420,SE,55.733836,-111.22586,0,1,NA,unmineable,NA
AM:420:SW,AM,420,SW,55.733791,-111.23538,0,1,NA,unmineable,NA
AM:422:CT,AM,422,CT,55.751626,-110.53662,0,1,NA,unmineable,NA
AM:423:CT,AM,423,CT,55.816164,-110.57813,0,1,NA,unmineable,NA
AM:423:NE,AM,423,NE,55.818843,-110.57334,0,1,NA,unmineable,NA
AM:423:NW,AM,423,NW,55.818921,-110.5829,0,1,NA,unmineable,NA
AM:423:SE,AM,423,SE,55.813497,-110.57335,0,1,NA,unmineable,NA
AM:423:SW,AM,423,SW,55.81353,-110.58296,0,1,NA,unmineable,NA
AM:424:CT,AM,424,CT,55.833784,-110.84702,0,1,NA,unmineable,NA
AM:424:NE,AM,424,NE,55.836545,-110.8423,0,1,NA,unmineable,NA
AM:424:NW,AM,424,NW,55.836584,-110.85185,0,1,NA,unmineable,NA
AM:424:SE,AM,424,SE,55.83119,-110.84242,0,1,NA,unmineable,NA
AM:424:SW,AM,424,SW,55.831112,-110.85219,0,1,NA,unmineable,NA
