"WTStation","Station","VegDate","Plot","Distance","Depth","year","SDD"
"AM:401:CT","AM-401-CT",2014-05-28,"C",0,0,2014,"AM-401-CT-C-0"
"AM:401:CT","AM-401-CT",2014-05-28,"S",10,16,2014,"AM-401-CT-S-10"
"AM:401:CT","AM-401-CT",2014-05-28,"S",20,25,2014,"AM-401-CT-S-20"
"AM:401:CT","AM-401-CT",2014-05-28,"S",30,22,2014,"AM-401-CT-S-30"
"AM:401:CT","AM-401-CT",2014-05-28,"S",40,23,2014,"AM-401-CT-S-40"
"AM:401:CT","AM-401-CT",2014-05-28,"S",50,15,2014,"AM-401-CT-S-50"
"AM:401:CT","AM-401-CT",2014-05-28,"W",10,19,2014,"AM-401-CT-W-10"
"AM:401:CT","AM-401-CT",2014-05-28,"W",20,17,2014,"AM-401-CT-W-20"
"AM:401:CT","AM-401-CT",2014-05-28,"W",30,24,2014,"AM-401-CT-W-30"
"AM:401:CT","AM-401-CT",2014-05-28,"W",40,28,2014,"AM-401-CT-W-40"
"AM:401:CT","AM-401-CT",2014-05-28,"W",50,14,2014,"AM-401-CT-W-50"
"AM:401:CT","AM-401-CT",2017-06-23,"C",0,0,2017,"AM-401-CT-C-0"
"AM:401:CT","AM-401-CT",2017-06-23,"N",10,9,2017,"AM-401-CT-N-10"
"AM:401:CT","AM-401-CT",2017-06-23,"N",20,13,2017,"AM-401-CT-N-20"
"AM:401:CT","AM-401-CT",2017-06-23,"N",30,12,2017,"AM-401-CT-N-30"
"AM:401:CT","AM-401-CT",2017-06-23,"N",40,8,2017,"AM-401-CT-N-40"
"AM:401:CT","AM-401-CT",2017-06-23,"N",50,13,2017,"AM-401-CT-N-50"
"AM:401:CT","AM-401-CT",2017-06-23,"E",10,10,2017,"AM-401-CT-E-10"
"AM:401:CT","AM-401-CT",2017-06-23,"E",20,11,2017,"AM-401-CT-E-20"
"AM:401:CT","AM-401-CT",2017-06-23,"E",30,13,2017,"AM-401-CT-E-30"
"AM:401:CT","AM-401-CT",2017-06-23,"E",40,100,2017,"AM-401-CT-E-40"
"AM:401:CT","AM-401-CT",2017-06-23,"E",50,100,2017,"AM-401-CT-E-50"
"AM:401:CT","AM-401-CT",2017-06-23,"S",10,14,2017,"AM-401-CT-S-10"
"AM:401:CT","AM-401-CT",2017-06-23,"S",20,8,2017,"AM-401-CT-S-20"
"AM:401:CT","AM-401-CT",2017-06-23,"S",30,7,2017,"AM-401-CT-S-30"
"AM:401:CT","AM-401-CT",2017-06-23,"S",40,8,2017,"AM-401-CT-S-40"
"AM:401:CT","AM-401-CT",2017-06-23,"S",50,9,2017,"AM-401-CT-S-50"
