OID_,ss,year,sample,occupied,region_x,wetland_x,data_set,site,station,latit,longit,mineable,lapr,mclelland,region_y,wetland_y,UID,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area
0,Y:313@27:CT,2014,3,NA,unmineable,NA,Y,0,CT,56.277118000000002,-110.856750000000005,0,1,NA,unmineable,NA,Y:313@27:CT-2014,250.000000000000000,9522,1570.796326789999966,196349.540849000011804
1,AM:427:SW,2013,2,NA,unmineable,NA,AM,427,SW,56.221390000000000,-110.851929999999996,0,1,NA,unmineable,NA,AM:427:SW-2013,250.000000000000000,1369,1570.796326789999966,196349.540849000011804
2,Y:313@27:CT,2014,4,NA,unmineable,NA,Y,0,CT,56.277118000000002,-110.856750000000005,0,1,NA,unmineable,NA,Y:313@27:CT-2014,250.000000000000000,9539,1570.796326789999966,196349.540849000011804
3,Y:224@7:NE,2019,1,0,west,NA,Y,0,NE,57.524951000000001,-111.309700000000007,1,1,west,west,McClelland Lake Fen - West,Y:224@7:NE-2019,250.000000000000000,3491,1570.796326789999966,196349.540849000011804
4,Y:245@24:G,2014,1,NA,west,NA,Y,0,G,57.467078999999998,-111.392700000000005,1,1,west,west,McClelland Lake Fen - West,Y:245@24:G-2014,250.000000000000000,4647,1570.796326789999966,196349.540849000011804
5,Y:268@23:B,2014,4,NA,east,NA,Y,0,B,57.345086999999999,-111.283460000000005,1,1,east,east,McClelland Lake Fen - East,Y:268@23:B-2014,250.000000000000000,5999,1570.796326789999966,196349.540849000011804
6,Y:463@50:A,2018,2,NA,unmineable,NA,Y,0,A,55.696081000000000,-110.885769999999994,0,1,NA,unmineable,NA,Y:463@50:A-2018,250.000000000000000,13335,1570.796326789999966,196349.540849000011804
7,Y:391@14:NE,2018,1,NA,unmineable,NA,Y,0,NE,55.120961000000001,-111.750270000000000,0,1,NA,unmineable,NA,Y:391@14:NE-2018,250.000000000000000,12364,1570.796326789999966,196349.540849000011804
8,Y:274@19:SE,2017,2,0,unmineable,NA,Y,0,SE,55.734976000000003,-111.107270000000000,0,1,NA,unmineable,NA,Y:274@19:SE-2017,250.000000000000000,6308,1570.796326789999966,196349.540849000011804
9,Y:238@24:A,2017,1,0,west,NA,Y,0,A,57.433171999999999,-111.463139999999996,1,1,west,west,McClelland Lake Fen - West,Y:238@24:A-2017,250.000000000000000,4194,1570.796326789999966,196349.540849000011804
10,Y:296@24:SE,2014,3,0,west,NA,Y,0,SE,57.436608000000000,-111.445409999999995,1,1,west,west,McClelland Lake Fen - West,Y:296@24:SE-2014,250.000000000000000,8067,1570.796326789999966,196349.540849000011804
11,AM:423:NW,2017,1,0,unmineable,NA,AM,423,NW,55.818921000000003,-110.582899999999995,0,1,NA,unmineable,NA,AM:423:NW-2017,250.000000000000000,729,1570.796326789999966,196349.540849000011804
12,Y:214@4:NE,2019,3,NA,unmineable,NA,Y,0,NE,54.558574999999998,-110.252229999999997,0,1,NA,unmineable,NA,Y:214@4:NE-2019,250.000000000000000,2789,1570.796326789999966,196349.540849000011804
