"SDD","WTStation","Station","x2013","x2014","x2015","x2016","x2017","x2018","x2019","NYears"
"AM-401-CT-C-0","AM:401:CT","AM-401-CT",NA,0,NA,NA,0,NA,NA,2
"AM-401-CT-E-10","AM:401:CT","AM-401-CT",NA,NA,NA,NA,10,NA,NA,1
"AM-401-CT-E-20","AM:401:CT","AM-401-CT",NA,NA,NA,NA,11,NA,NA,1
"AM-401-CT-E-30","AM:401:CT","AM-401-CT",NA,NA,NA,NA,13,NA,NA,1
"AM-401-CT-N-10","AM:401:CT","AM-401-CT",NA,NA,NA,NA,9,NA,NA,1
"AM-401-CT-N-20","AM:401:CT","AM-401-CT",NA,NA,NA,NA,13,NA,NA,1
"AM-401-CT-N-30","AM:401:CT","AM-401-CT",NA,NA,NA,NA,12,NA,NA,1
"AM-401-CT-N-40","AM:401:CT","AM-401-CT",NA,NA,NA,NA,8,NA,NA,1
"AM-401-CT-N-50","AM:401:CT","AM-401-CT",NA,NA,NA,NA,13,NA,NA,1
"AM-401-CT-S-10","AM:401:CT","AM-401-CT",NA,16,NA,NA,14,NA,NA,2
"AM-401-CT-S-20","AM:401:CT","AM-401-CT",NA,25,NA,NA,8,NA,NA,2
"AM-401-CT-S-30","AM:401:CT","AM-401-CT",NA,22,NA,NA,7,NA,NA,2
"AM-401-CT-S-40","AM:401:CT","AM-401-CT",NA,23,NA,NA,8,NA,NA,2
"AM-401-CT-S-50","AM:401:CT","AM-401-CT",NA,15,NA,NA,9,NA,NA,2
"AM-401-CT-W-10","AM:401:CT","AM-401-CT",NA,19,NA,NA,11,NA,NA,2
"AM-401-CT-W-20","AM:401:CT","AM-401-CT",NA,17,NA,NA,6,NA,NA,2
"AM-401-CT-W-30","AM:401:CT","AM-401-CT",NA,24,NA,NA,14,NA,NA,2
"AM-401-CT-W-40","AM:401:CT","AM-401-CT",NA,28,NA,NA,4,NA,NA,2
"AM-401-CT-W-50","AM:401:CT","AM-401-CT",NA,14,NA,NA,0,NA,NA,2
"AM-401-NE-C-0","AM:401:NE","AM-401-NE",NA,5,NA,NA,0,NA,NA,2
"AM-401-NE-E-10","AM:401:NE","AM-401-NE",NA,9,NA,NA,15,NA,NA,2
"AM-401-NE-E-20","AM:401:NE","AM-401-NE",NA,0,NA,NA,10,NA,NA,2
"AM-401-NE-E-30","AM:401:NE","AM-401-NE",NA,0,NA,NA,5,NA,NA,2
"AM-401-NE-E-40","AM:401:NE","AM-401-NE",NA,0,NA,NA,5,NA,NA,2
"AM-401-NE-E-50","AM:401:NE","AM-401-NE",NA,0,NA,NA,9,NA,NA,2
"AM-401-NE-N-10","AM:401:NE","AM-401-NE",NA,7,NA,NA,0,NA,NA,2
"AM-401-NE-N-20","AM:401:NE","AM-401-NE",NA,0,NA,NA,14,NA,NA,2
"AM-401-NE-N-30","AM:401:NE","AM-401-NE",NA,11,NA,NA,11,NA,NA,2
"AM-401-NE-N-40","AM:401:NE","AM-401-NE",NA,12,NA,NA,0,NA,NA,2
"AM-401-NE-N-50","AM:401:NE","AM-401-NE",NA,9,NA,NA,11,NA,NA,2
"AM-401-NE-S-10","AM:401:NE","AM-401-NE",NA,7,NA,NA,4,NA,NA,2
"AM-401-NE-S-20","AM:401:NE","AM-401-NE",NA,7,NA,NA,5,NA,NA,2
"AM-401-NE-S-30","AM:401:NE","AM-401-NE",NA,8,NA,NA,11,NA,NA,2
"AM-401-NE-S-40","AM:401:NE","AM-401-NE",NA,12,NA,NA,13,NA,NA,2
"AM-401-NE-S-50","AM:401:NE","AM-401-NE",NA,9,NA,NA,16,NA,NA,2
"AM-401-NE-W-10","AM:401:NE","AM-401-NE",NA,6,NA,NA,0,NA,NA,2
"AM-401-NE-W-20","AM:401:NE","AM-401-NE",NA,9,NA,NA,11,NA,NA,2
"AM-401-NE-W-30","AM:401:NE","AM-401-NE",NA,8,NA,NA,8,NA,NA,2
"AM-401-NE-W-40","AM:401:NE","AM-401-NE",NA,13,NA,NA,13,NA,NA,2
"AM-401-NE-W-50","AM:401:NE","AM-401-NE",NA,10,NA,NA,11,NA,NA,2
"AM-401-NW-C-0","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-E-10","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-E-20","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-E-30","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-E-40","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-E-50","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-N-10","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-N-20","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-N-30","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-N-40","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-N-50","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-S-10","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-S-20","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-S-30","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-S-40","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-S-50","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-W-10","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-W-20","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-W-30","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-W-40","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-NW-W-50","AM:401:NW","AM-401-NW",NA,0,NA,NA,0,NA,NA,2
"AM-401-SE-C-0","AM:401:SE","AM-401-SE",NA,11,NA,NA,20,NA,NA,2
"AM-401-SE-E-10","AM:401:SE","AM-401-SE",NA,NA,11,NA,25,NA,NA,2
