"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence"
"AM:401:CT-2013","AM:401:CT",2013,2,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,216.383278645542,444.602773192598,340.335773842036,2143.45544954113,1174.82250265512,610.823367237566,0.558792237152239,0.720902146292845,0.299049139978222,2262.42779069607,-374.581935288546,NA
"AM:401:CT-2014","AM:401:CT",2014,2,0,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,205.68494950736,424.193215576063,332.091631929646,1766.06953166309,1004.24911882576,547.959425018376,0.53746290939549,0.68257355699798,0.29237796940347,1939.34125305463,-322.895595014679,"absent"
"AM:401:CT-2015","AM:401:CT",2015,1,0,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent"
"AM:401:CT-2016","AM:401:CT",2016,4,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,291.746090636238,542.663933367987,473.242393756174,2207.15504214474,1456.64896579485,797.675830450782,0.495175482438612,0.654726522935686,0.234172789088208,2610.77401425685,-555.443705427171,NA
"AM:401:CT-2017","AM:401:CT",2017,3,0,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,153.953682510928,337.569212689434,252.847232592871,1473.49507240385,749.013563611382,373.939225454253,0.603016688593003,0.686326073330375,0.343728475691277,1535.86215263257,-181.968473339231,"absent"
"AM:401:CT-2018","AM:401:CT",2018,3,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,189.403058076318,410.609074960021,338.165846942507,2019.11602603612,1105.64451230449,576.382396311756,0.560963927742605,0.71302497158514,0.303511459854752,2131.88902975093,-350.293051370015,NA
"AM:401:CT-2019","AM:401:CT",2019,3,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,214.898128099459,410.29611042328,351.642418109851,1660.12658230265,999.642087187217,558.471480620504,0.525630565455779,0.628299008218701,0.28547024226816,1923.6095268876,-329.469799790856,NA
"AM:401:NE-2013","AM:401:NE",2013,2,NA,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,221.917646417804,426.926067636126,345.190061630483,1948.3487813147,1180.33627359576,630.133020135853,0.517529604061169,0.694839138057804,0.25549712324811,2160.97681217596,-435.665164193173,NA
"AM:401:NE-2014","AM:401:NE",2014,3,0,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,223.880577316592,444.35717226265,367.674563198489,1827.62325491288,1142.87222874717,633.750366271537,0.498572693585117,0.665947016142058,0.251836245310762,2088.13512701873,-428.082582909346,"absent"
"AM:401:NE-2015","AM:401:NE",2015,2,0,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,143.066294684639,276.735726704542,232.472152771635,868.539377197078,526.58097808424,262.716577926472,0.537393631242026,0.578949176838799,0.248609877527646,1033.44130157395,-137.747854022479,"absent"
"AM:401:NE-2016","AM:401:NE",2016,2,NA,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,308.716569397862,546.04301420286,523.610695734299,2035.48482243398,1541.92584060831,901.093238809042,0.40416142504837,0.593684500211474,0.159376776945714,2601.05342442759,-694.401345822082,NA
"AM:401:NE-2017","AM:401:NE",2017,1,0,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,153.55763479398,318.932333603749,250.119664846408,1351.19581905581,697.846093305404,351.755088450036,0.597711442708089,0.669966410862117,0.339638650874526,1430.63770013924,-169.161961994939,"absent"
"AM:401:NE-2018","AM:401:NE",2018,2,NA,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,192.31413384349,396.895633801112,338.803760185981,1895.51879487583,1115.52802128613,591.449854096792,0.531744657711197,0.69587850852405,0.272271404083057,2067.89151516546,-395.757629561745,NA
