"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence","julian"
"AM:401:CT-2013","AM:401:CT",2013,2,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,236.802045191192,457.818515293872,387.671822451534,2064.47679697187,1257.07805682505,681.745852288066,0.515616823345024,0.686063987817178,0.26054059849176,2304.86053782328,-461.442098744107,NA,1.80917744302895
"AM:401:CT-2014","AM:401:CT",2014,2,0,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,219.402071168618,433.071417980782,363.891512509507,1713.01246851911,1059.50757145269,595.60443598324,0.508458101360456,0.659169633102943,0.2665083191782,1967.84714509586,-381.247377771633,"absent",1.21538718008994
"AM:401:CT-2016","AM:401:CT",2016,4,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,292.059922528713,542.867056379597,473.96993827676,2205.94115785131,1457.91321533578,798.765893244373,0.494511885947942,0.654191068201909,0.233580921385321,2611.42619612612,-556.778726786909,NA,0.0278066542119262
"AM:401:CT-2017","AM:401:CT",2017,3,0,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,173.702284568139,350.351200821052,298.629664399405,1397.10857877712,828.569407627013,442.53396309619,0.561258335363006,0.652631338312771,0.306483823330934,1576.90221425118,-265.977798724932,"absent",1.74979841673505
"AM:401:CT-2018","AM:401:CT",2018,3,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,174.973271223131,401.26961063921,304.713821797891,2074.9296384783,1047.51513845082,526.262016116947,0.591475663950734,0.737644832928748,0.330725152926487,2101.90213043104,-288.909635192816,NA,-1.27853192425389
"AM:401:CT-2019","AM:401:CT",2019,3,NA,"unmineable",NA,"AM",401,"CT",54.659588,-110.70787,0,1,NA,236.657223621987,424.379360463865,402.085700325277,1575.96361184834,1087.29706166575,634.049460488132,0.479621030494128,0.591174002826909,0.24443392252946,1968.82764503201,-422.031639386139,NA,1.92793549561675
"AM:401:NE-2013","AM:401:NE",2013,2,NA,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,242.336412963454,440.1418097374,392.526110239981,1869.37012874544,1262.59182776569,701.055505186353,0.474354190253954,0.660000979582137,0.216988581761648,2203.40955930317,-522.525327648734,NA,1.80917744302895
"AM:401:NE-2014","AM:401:NE",2014,3,0,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,237.59769897785,453.235374667369,399.47444377835,1774.5661917689,1198.1306813741,681.395377236401,0.469567885550083,0.642543092247021,0.225966595085492,2116.64101905996,-486.4343656663,"absent",1.21538718008994
"AM:401:NE-2015","AM:401:NE",2015,2,0,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,165.495554695607,291.252730714782,284.469051790024,781.784247800238,616.935662717071,340.622305202663,0.489967035703156,0.540680747988944,0.206309668662827,1080.05210522696,-233.160531687623,"absent",1.98731452191065
"AM:401:NE-2016","AM:401:NE",2016,2,NA,"unmineable",NA,"AM",401,"NE",54.662427,-110.70374,0,1,NA,309.030401290337,546.24613721447,524.338240254885,2034.27093814055,1543.19009014924,902.183301602633,0.4034978285577,0.593149045477697,0.158784909242827,2601.70560629686,-695.73636718182,NA,0.0278066542119262
