"ss","latit","longit","cluster","random","best"
"AM:401:CT",54.659588,-110.70787,1,2014,"2014"
"AM:401:NE",54.662427,-110.70374,1,2015,"2015"
"AM:401:NW",54.662224,-110.7129,1,2017,"2017"
"AM:401:SE",54.657827,-110.70662,1,2017,"2017"
"AM:401:SW",54.656922,-110.71297,1,2014,"2014"
"AM:403:CT",54.610992,-110.68858,1,2017,"2015"
"AM:403:NE",54.613648,-110.67989,1,NA,NA
"AM:403:NW",54.614084,-110.68495,1,2017,"2014"
"AM:403:SE",54.608119,-110.6804,1,2017,"2014"
"AM:403:SW",54.608253,-110.68923,1,2014,"2015"
"AM:412:CT",57.496453,-111.3596,2,NA,NA
"AM:412:NW",57.498502,-111.36571,2,NA,NA
"AM:412:SW",57.494146,-111.3653,2,NA,NA
"AM:414:CT",57.513788,-111.34433,2,2019,"2019"
"AM:414:NE",57.51591,-111.34007,2,2015,"2015"
"AM:414:NW",57.518273,-111.34637,2,NA,NA
"AM:414:SE",57.51132,-111.3499,2,2016,"2016"
"AM:414:SW",57.51534,-111.35134,2,NA,NA
"AM:420:CT",55.736424,-111.23068,3,NA,NA
"AM:420:NE",55.739182,-111.22592,3,NA,NA
"AM:420:NW",55.73911,-111.23548,3,2014,"2014"
"AM:420:SE",55.733836,-111.22586,3,2014,"2014"
"AM:420:SW",55.733791,-111.23538,3,2014,"2014"
"AM:422:CT",55.751626,-110.53662,4,2014,"2014"
"AM:423:CT",55.816164,-110.57813,4,2016,"2016"
"AM:423:NE",55.818843,-110.57334,4,2016,"2016"
"AM:423:NW",55.818921,-110.5829,4,2016,"2016"
"AM:423:SE",55.813497,-110.57335,4,2015,"2015"
"AM:423:SW",55.81353,-110.58296,4,2015,"2015"
"AM:424:CT",55.833784,-110.84702,4,2015,"2015"
"AM:424:NE",55.836545,-110.8423,4,2014,"2014"
"AM:424:NW",55.836584,-110.85185,4,2017,"2017"
"AM:424:SE",55.83119,-110.84242,4,2014,"2014"
"AM:424:SW",55.831112,-110.85219,4,2015,"2015"
"AM:425:CT",55.92862,-111.14719,5,2017,"2017"
"AM:425:NE",55.931393,-111.14248,5,2015,"2015"
"AM:425:NW",55.931283,-111.15194,5,2017,"2017"
