location,year,datetime,occupied,region,latitude,longitude
AM-401-CT,2013,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT,2016,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT,2017,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT,2018,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT,2019,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT,2020,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT,2021,NA,NOT SURVEYED,UNMINEABLE,54.65939,-110.7076
AM-401-CT2,2013,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2014,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2015,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2016,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2018,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2019,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2020,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2021,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-CT2,2017,NA,NOT SURVEYED,UNMINEABLE,54.65998,-110.7085
AM-401-NE,2013,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NE,2016,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NE,2018,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NE,2019,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NE,2020,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NE,2021,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NE,2014,NA,NOT SURVEYED,UNMINEABLE,54.66243,-110.7037
AM-401-NW,2013,NA,NOT SURVEYED,UNMINEABLE,54.66222,-110.7129
AM-401-NW,2016,NA,NOT SURVEYED,UNMINEABLE,54.66222,-110.7129
AM-401-NW,2018,NA,NOT SURVEYED,UNMINEABLE,54.66222,-110.7129
AM-401-NW,2019,NA,NOT SURVEYED,UNMINEABLE,54.66222,-110.7129
AM-401-NW,2020,NA,NOT SURVEYED,UNMINEABLE,54.66222,-110.7129
AM-401-NW,2021,NA,NOT SURVEYED,UNMINEABLE,54.66222,-110.7129
AM-401-SE,2013,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
AM-401-SE,2016,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
AM-401-SE,2017,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
AM-401-SE,2018,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
AM-401-SE,2019,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
AM-401-SE,2020,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
AM-401-SE,2021,NA,NOT SURVEYED,UNMINEABLE,54.65829,-110.7078
