richardSS(mess),embSS,year,sample,occupied,region,wetland
AM:401:CT,AM-401-CT,2014,1,0,unmineable,NA
AM:401:CT,AM-401-CT,2015,1,0,unmineable,NA
AM:401:CT,AM-401-CT,2017,1,0,unmineable,NA
AM:401:NE,AM-401-NE,2014,1,0,unmineable,NA
AM:401:NE,AM-401-NE,2015,1,0,unmineable,NA
AM:401:NE,AM-401-NE,2017,1,0,unmineable,NA
AM:401:NW,AM-401-NW,2014,1,0,unmineable,NA
AM:401:NW,AM-401-NW,2015,1,0,unmineable,NA
AM:401:NW,AM-401-NW,2017,1,0,unmineable,NA
AM:401:SE,AM-401-SE,2014,1,0,unmineable,NA
AM:401:SE,AM-401-SE,2015,1,0,unmineable,NA
AM:401:SE,AM-401-SE,2017,1,0,unmineable,NA
AM:401:SW,AM-401-SW,2014,1,0,unmineable,NA
AM:401:SW,AM-401-SW,2015,1,0,unmineable,NA
AM:401:SW,AM-401-SW,2017,1,0,unmineable,NA
AM:403:CT,AM-403-CT,2014,1,0,unmineable,NA
AM:403:CT,AM-403-CT,2015,1,1,unmineable,NA
AM:403:CT,AM-403-CT,2017,1,0,unmineable,NA
AM:403:NE,AM-403-NE,2014,1,0,unmineable,NA
AM:403:NE,AM-403-NE,2015,1,0,unmineable,NA
AM:403:NE,AM-403-NE,2017,1,0,unmineable,NA
AM:403:NW,AM-403-NW,2014,1,1,unmineable,NA
AM:403:NW,AM-403-NW,2015,1,1,unmineable,NA
AM:403:NW,AM-403-NW,2017,1,0,unmineable,NA
AM:403:SE,AM-403-SE,2014,1,1,unmineable,NA
AM:403:SE,AM-403-SE,2015,1,0,unmineable,NA
AM:403:SE,AM-403-SE,2017,1,0,unmineable,NA
AM:403:SW,AM-403-SW,2014,1,0,unmineable,NA
AM:403:SW,AM-403-SW,2015,1,0,unmineable,NA
AM:403:SW,AM-403-SW,2017,1,0,unmineable,NA
AM:412:CT,AM-412-CT,2015,1,0,west,NA
AM:412:CT,AM-412-CT,2018,1,0,west,NA
AM:412:CT,AM-412-CT,2019,1,0,west,NA
AM:412:NW,AM-412-NW,2015,1,0,west,NA
AM:412:NW,AM-412-NW,2018,1,0,west,NA
AM:412:NW,AM-412-NW,2019,1,0,west,NA
AM:412:SW,AM-412-SW,2015,1,0,west,NA
AM:412:SW,AM-412-SW,2018,1,0,west,NA
AM:412:SW,AM-412-SW,2019,1,0,west,NA
AM:414:CT,AM-414-CT,2015,1,0,west,NA
AM:414:CT,AM-414-CT,2016,1,0,west,NA
AM:414:CT,AM-414-CT,2017,1,0,west,NA
AM:414:CT,AM-414-CT,2018,1,0,west,NA
AM:414:CT,AM-414-CT,2019,1,0,west,NA
AM:414:NE,AM-414-NE,2015,1,0,west,NA
AM:414:NE,AM-414-NE,2017,1,0,west,NA
AM:414:NE,AM-414-NE,2018,1,0,west,NA
AM:414:NE,AM-414-NE,2019,1,0,west,NA
AM:414:NW,AM-414-NW,2015,1,0,west,NA
AM:414:NW,AM-414-NW,2016,1,0,west,NA
AM:414:NW,AM-414-NW,2017,1,0,west,NA
AM:414:SE,AM-414-SE,2015,1,0,west,NA
AM:414:SE,AM-414-SE,2016,1,0,west,NA
AM:414:SE,AM-414-SE,2017,1,0,west,NA
AM:414:SE,AM-414-SE,2018,1,0,west,NA
AM:414:SE,AM-414-SE,2019,1,0,west,NA
AM:414:SW,AM-414-SW,2015,1,0,west,NA
AM:414:SW,AM-414-SW,2017,1,0,west,NA
AM:414:SW,AM-414-SW,2019,1,0,west,NA
AM:420:CT,AM-420-CT,2014,1,0,unmineable,NA
AM:420:CT,AM-420-CT,2015,1,0,unmineable,NA
AM:420:CT,AM-420-CT,2017,1,0,unmineable,NA
AM:420:NE,AM-420-NE,2014,1,0,unmineable,NA
AM:420:NE,AM-420-NE,2015,1,0,unmineable,NA
AM:420:NE,AM-420-NE,2017,1,0,unmineable,NA
AM:420:NW,AM-420-NW,2014,1,0,unmineable,NA
AM:420:NW,AM-420-NW,2015,1,0,unmineable,NA
AM:420:NW,AM-420-NW,2017,1,0,unmineable,NA
AM:420:SE,AM-420-SE,2014,1,0,unmineable,NA
AM:420:SE,AM-420-SE,2015,1,0,unmineable,NA
AM:420:SE,AM-420-SE,2017,1,0,unmineable,NA
AM:420:SW,AM-420-SW,2014,1,0,unmineable,NA
AM:420:SW,AM-420-SW,2015,1,0,unmineable,NA
AM:420:SW,AM-420-SW,2017,1,0,unmineable,NA
AM:422:CT,AM-422-CT,2014,1,0,unmineable,NA
AM:423:CT,AM-423-CT,2015,1,0,unmineable,NA
AM:423:CT,AM-423-CT,2016,1,0,unmineable,NA
AM:423:CT,AM-423-CT,2017,1,0,unmineable,NA
AM:423:NE,AM-423-NE,2015,1,0,unmineable,NA
AM:423:NE,AM-423-NE,2016,1,0,unmineable,NA
AM:423:NE,AM-423-NE,2017,1,0,unmineable,NA
AM:423:NW,AM-423-NW,2015,1,0,unmineable,NA
AM:423:NW,AM-423-NW,2016,1,0,unmineable,NA
AM:423:NW,AM-423-NW,2017,1,0,unmineable,NA
AM:423:SE,AM-423-SE,2015,1,0,unmineable,NA
AM:423:SE,AM-423-SE,2016,1,0,unmineable,NA
AM:423:SE,AM-423-SE,2017,1,0,unmineable,NA
AM:423:SW,AM-423-SW,2015,1,0,unmineable,NA
AM:423:SW,AM-423-SW,2016,1,0,unmineable,NA
AM:423:SW,AM-423-SW,2017,1,0,unmineable,NA
AM:424:CT,AM-424-CT,2014,1,0,unmineable,NA
AM:424:CT,AM-424-CT,2015,1,0,unmineable,NA
AM:424:CT,AM-424-CT,2016,1,0,unmineable,NA
AM:424:CT,AM-424-CT,2017,1,0,unmineable,NA
AM:424:CT,AM-424-CT,2018,1,0,unmineable,NA
AM:424:NE,AM-424-NE,2014,1,0,unmineable,NA
AM:424:NE,AM-424-NE,2015,1,0,unmineable,NA
AM:424:NE,AM-424-NE,2016,1,0,unmineable,NA
AM:424:NE,AM-424-NE,2017,1,0,unmineable,NA
AM:424:NE,AM-424-NE,2018,1,0,unmineable,NA
AM:424:NW,AM-424-NW,2014,1,0,unmineable,NA
AM:424:NW,AM-424-NW,2015,1,0,unmineable,NA
AM:424:NW,AM-424-NW,2016,1,0,unmineable,NA
AM:424:NW,AM-424-NW,2017,1,0,unmineable,NA
AM:424:NW,AM-424-NW,2018,1,0,unmineable,NA
AM:424:SE,AM-424-SE,2014,1,0,unmineable,NA
AM:424:SE,AM-424-SE,2015,1,0,unmineable,NA
AM:424:SE,AM-424-SE,2016,1,0,unmineable,NA
AM:424:SE,AM-424-SE,2017,1,0,unmineable,NA
AM:424:SE,AM-424-SE,2018,1,0,unmineable,NA
AM:424:SW,AM-424-SW,2014,1,0,unmineable,NA
AM:424:SW,AM-424-SW,2015,1,0,unmineable,NA
AM:424:SW,AM-424-SW,2016,1,0,unmineable,NA
AM:424:SW,AM-424-SW,2017,1,0,unmineable,NA
AM:424:SW,AM-424-SW,2018,1,0,unmineable,NA
AM:425:CT,AM-425-CT,2015,1,0,unmineable,NA
AM:425:CT,AM-425-CT,2017,1,0,unmineable,NA
AM:425:NE,AM-425-NE,2015,1,0,unmineable,NA
AM:425:NE,AM-425-NE,2017,1,0,unmineable,NA
AM:425:NW,AM-425-NW,2015,1,0,unmineable,NA
AM:425:NW,AM-425-NW,2017,1,0,unmineable,NA
AM:425:SE,AM-425-SE,2015,1,0,unmineable,NA
AM:425:SE,AM-425-SE,2017,1,0,unmineable,NA
AM:425:SW,AM-425-SW,2015,1,0,unmineable,NA
AM:425:SW,AM-425-SW,2017,1,0,unmineable,NA
AM:426:CT,AM-426-CT,2014,1,0,unmineable,NA
AM:426:CT,AM-426-CT,2015,1,0,unmineable,NA
AM:426:CT,AM-426-CT,2016,1,0,unmineable,NA
AM:426:CT,AM-426-CT,2017,1,0,unmineable,NA
AM:426:NE,AM-426-NE,2014,1,0,unmineable,NA
AM:426:NE,AM-426-NE,2015,1,0,unmineable,NA
AM:426:NE,AM-426-NE,2016,1,0,unmineable,NA
AM:426:NE,AM-426-NE,2017,1,0,unmineable,NA
AM:426:NW,AM-426-NW,2014,1,0,unmineable,NA
AM:426:NW,AM-426-NW,2015,1,0,unmineable,NA
AM:426:NW,AM-426-NW,2016,1,0,unmineable,NA
AM:426:NW,AM-426-NW,2017,1,0,unmineable,NA
AM:426:SE,AM-426-SE,2014,1,0,unmineable,NA
AM:426:SE,AM-426-SE,2015,1,0,unmineable,NA
AM:426:SE,AM-426-SE,2016,1,0,unmineable,NA
AM:426:SW,AM-426-SW,2014,1,0,unmineable,NA
AM:426:SW,AM-426-SW,2015,1,0,unmineable,NA
AM:426:SW,AM-426-SW,2016,1,0,unmineable,NA
AM:427:CT,AM-427-CT,2014,1,0,unmineable,NA
AM:427:CT,AM-427-CT,2015,1,0,unmineable,NA
AM:427:NE,AM-427-NE,2014,1,0,unmineable,NA
AM:427:NE,AM-427-NE,2015,1,0,unmineable,NA
AM:427:NW,AM-427-NW,2014,1,0,unmineable,NA
AM:427:NW,AM-427-NW,2015,1,0,unmineable,NA
AM:427:SE,AM-427-SE,2014,1,0,unmineable,NA
AM:427:SE,AM-427-SE,2015,1,0,unmineable,NA
AM:427:SW,AM-427-SW,2014,1,0,unmineable,NA
AM:427:SW,AM-427-SW,2015,1,0,unmineable,NA
AM:429:CT,AM-429-CT,2014,1,0,unmineable,NA
AM:429:CT,AM-429-CT,2015,1,0,unmineable,NA
AM:429:NE,AM-429-NE,2014,1,0,unmineable,NA
AM:429:NE,AM-429-NE,2015,1,0,unmineable,NA
AM:429:NW,AM-429-NW,2014,1,0,unmineable,NA
AM:429:NW,AM-429-NW,2015,1,0,unmineable,NA
AM:429:SE,AM-429-SE,2015,1,0,unmineable,NA
AM:429:SW,AM-429-SW,2014,1,0,unmineable,NA
AM:429:SW,AM-429-SW,2015,1,0,unmineable,NA
AM:433:CT,AM-433-CT,2014,1,0,unmineable,NA
AM:433:CT,AM-433-CT,2015,1,0,unmineable,NA
AM:433:CT,AM-433-CT,2017,1,0,unmineable,NA
AM:433:NE,AM-433-NE,2014,1,0,unmineable,NA
AM:433:NE,AM-433-NE,2015,1,0,unmineable,NA
AM:433:NE,AM-433-NE,2017,1,0,unmineable,NA
AM:433:NW,AM-433-NW,2014,1,0,unmineable,NA
AM:433:NW,AM-433-NW,2015,1,0,unmineable,NA
AM:433:NW,AM-433-NW,2017,1,0,unmineable,NA
AM:433:SE,AM-433-SE,2014,1,0,unmineable,NA
AM:433:SE,AM-433-SE,2015,1,0,unmineable,NA
AM:433:SE,AM-433-SE,2017,1,0,unmineable,NA
AM:433:SW,AM-433-SW,2014,1,0,unmineable,NA
AM:433:SW,AM-433-SW,2015,1,0,unmineable,NA
AM:433:SW,AM-433-SW,2017,1,0,unmineable,NA
AM:441:CT,AM-441-CT,2014,1,0,unmineable,NA
AM:441:CT,AM-441-CT,2015,1,0,unmineable,NA
AM:441:CT,AM-441-CT,2017,1,0,unmineable,NA
AM:441:NE,AM-441-NE,2014,1,0,unmineable,NA
AM:441:NE,AM-441-NE,2015,1,0,unmineable,NA
AM:441:NE,AM-441-NE,2016,1,0,unmineable,NA
AM:441:NE,AM-441-NE,2017,1,0,unmineable,NA
AM:441:NW,AM-441-NW,2014,1,0,unmineable,NA
AM:441:NW,AM-441-NW,2015,1,0,unmineable,NA
AM:441:NW,AM-441-NW,2016,1,0,unmineable,NA
AM:441:NW,AM-441-NW,2017,1,0,unmineable,NA
AM:441:SE,AM-441-SE,2014,1,0,unmineable,NA
AM:441:SE,AM-441-SE,2015,1,0,unmineable,NA
AM:441:SE,AM-441-SE,2017,1,0,unmineable,NA
AM:441:SW,AM-441-SW,2014,1,0,unmineable,NA
AM:441:SW,AM-441-SW,2015,1,0,unmineable,NA
AM:441:SW,AM-441-SW,2016,1,0,unmineable,NA
AM:441:SW,AM-441-SW,2017,1,0,unmineable,NA
AM:442:CT,AM-442-CT,2014,1,0,unmineable,NA
AM:442:CT,AM-442-CT,2015,1,0,unmineable,NA
AM:442:CT,AM-442-CT,2016,1,0,unmineable,NA
AM:442:CT,AM-442-CT,2017,1,0,unmineable,NA
AM:442:CT,AM-442-CT,2018,1,1,unmineable,NA
AM:442:CT,AM-442-CT,2021,1,0,unmineable,
AM:442:NE,AM-442-NE,2015,1,0,unmineable,NA
AM:442:NE,AM-442-NE,2016,1,0,unmineable,NA
AM:442:NE,AM-442-NE,2017,1,0,unmineable,NA
